ID,category,year,month,day,verified,province,longitude,latitude,review,open_days
19650755,2,2014,9,17,0,5,118.8021,32.04755,2,978
21138201,1,2014,11,20,1,6,114.02435,22.53493,0,914
3638854,2,2009,12,25,1,5,118.77812,32.05288,0,2705
6377455,2,2012,9,24,1,19,104.11473,30.65058,0,1701
8944905,1,2013,3,10,0,5,119.53311,32.1431,0,1534
9300413,2,2013,4,23,0,2,113.01911,28.13736,0,1490
10382661,2,2013,6,9,0,19,103.67473,30.62233,0,1443
11075280,4,2013,6,19,0,14,106.55798,29.57873,0,1433
12119485,1,2013,7,4,0,19,102.25771,27.89046,0,1418
12272763,1,2013,7,5,0,12,117.50997,37.48468,0,1417
13394784,6,2013,7,9,0,12,119.20857,36.42893,0,1413
14003519,3,2013,9,17,0,3,120.47409,30.23045,0,1343
14670307,6,2013,9,30,0,5,118.78586,34.53638,0,1330
15674366,1,2013,11,17,0,24,117.21337,39.1075,0,1282
16208434,1,2013,12,17,0,10,115.98182,29.71171,0,1252
17498462,6,2014,2,11,0,24,117.70163,39.02664,0,1196
18454585,2,2014,6,11,0,27,108.93125,34.29155,0,1076
20635475,3,2014,10,1,0,9,111.35092,30.64461,0,964
5708312,1,2012,4,4,0,24,117.01674,39.37509,0,1874
6640493,1,2012,10,20,0,3,119.89484,29.45118,0,1675
7469495,6,2012,11,8,0,27,108.69122,34.3444,0,1656
9828824,2,2013,5,6,0,25,123.84868,42.30295,0,1477
10662409,3,2013,6,17,0,6,113.30051,23.09142,1,1435
11145254,1,2013,6,19,0,5,118.81308,32.10369,0,1433
11806780,6,2013,7,4,0,11,113.38414,36.50622,0,1418
12694309,1,2013,7,9,0,5,118.19024,33.47754,0,1413
13568568,1,2013,7,10,0,19,106.08129,30.78464,0,1412
14597798,3,2013,9,30,0,10,115.8252,28.68254,0,1330
15334140,4,2013,11,17,0,8,117.28916,31.24943,0,1282
15392187,1,2013,11,17,0,17,130.35873,46.81262,0,1282
16973567,1,2014,1,1,0,23,125.32013,43.86658,0,1237
17446232,6,2014,2,11,0,20,108.3342,22.82358,0,1196
20789263,2,2014,10,20,0,1,116.76211,39.60801,0,945
3792460,6,2010,2,4,0,7,116.29472,39.96778,3,2664
6647481,1,2012,10,21,0,11,111.01004,35.02228,0,1674
7756535,6,2012,11,8,0,12,117.43513,34.82201,0,1656
9895204,2,2013,5,7,0,8,118.27499,31.17148,0,1476
10731908,8,2013,6,19,0,6,113.32089,23.04094,0,1433
11383054,11,2013,6,20,0,27,108.90119,34.26602,0,1432
11676106,11,2013,7,4,0,10,116.05563,27.76384,0,1418
13068142,1,2013,7,9,0,26,81.34266,43.93472,0,1413
13936204,10,2013,9,17,0,7,116.3892,39.92363,0,1343
15149645,1,2013,11,17,0,13,108.65345,40.72964,0,1282
16900933,4,2013,12,26,0,3,120.59197,29.9918,0,1243
17399571,2,2014,2,11,0,15,102.72361,25.07388,0,1196
19167720,2,2014,7,30,0,7,116.36609,39.85491,0,1027
19724115,9,2014,9,24,0,14,107.76583,29.32928,0,971
2807587,2,2008,10,21,0,6,113.53164,22.25307,0,3135
4619061,6,2011,1,1,0,11,113.58656,37.8607,0,2333
6634651,1,2012,10,20,0,3,119.64246,29.0835,0,1675
8884953,2,2013,2,12,1,16,113.72515,34.74947,0,1560
9432324,2,2013,4,28,0,15,102.74827,24.28842,0,1485
9929898,2,2013,5,8,0,16,112.51703,32.97754,0,1475
10810871,1,2013,6,19,0,6,113.84329,22.71778,0,1433
11209352,11,2013,6,19,0,12,120.4285,36.0744,0,1433
12065814,1,2013,7,4,0,2,112.17709,29.41118,0,1418
12902298,6,2013,7,9,0,15,101.5713,21.4877,0,1413
13223422,6,2013,7,9,0,12,118.10204,36.95452,0,1413
14144742,5,2013,9,17,0,14,106.44565,29.46426,0,1343
14777922,6,2013,10,21,0,3,121.38838,28.56216,0,1309
15316446,1,2013,11,17,0,32,100.99778,36.90208,0,1282
16226564,2,2013,12,17,0,6,113.36238,23.12114,0,1252
16571814,1,2013,12,18,0,32,101.78168,36.61076,0,1251
17601386,2,2014,2,11,0,27,108.94479,34.25757,0,1196
18472520,2,2014,6,12,0,5,117.24547,34.24783,0,1075
19609396,2,2014,9,11,1,7,116.36589,39.9809,30,984
21023437,3,2014,11,6,1,7,116.3753,39.91149,0,928
21583954,6,2014,12,19,0,12,120.3592,36.07367,0,885
5670910,2,2012,3,19,0,6,113.25784,22.8488,2,1890
6932451,5,2012,11,6,0,6,110.16798,20.33468,0,1658
9106220,2,2013,4,19,0,23,125.34052,43.84155,0,1494
10014420,3,2013,5,27,1,3,120.1356,30.17585,0,1456
10766932,1,2013,6,19,0,6,113.29888,23.12933,0,1433
11168281,1,2013,6,19,0,14,108.40042,31.1698,0,1433
11998925,4,2013,7,4,0,4,117.01418,25.09722,0,1418
12651855,1,2013,7,9,0,1,117.84153,39.80728,0,1413
13313714,1,2013,7,9,0,19,105.57639,30.50658,0,1413
13967864,5,2013,9,17,0,19,103.92452,30.68703,0,1343
14595451,5,2013,9,30,0,5,120.92175,32.35349,0,1330
15174237,1,2013,11,17,0,1,115.43582,38.98707,0,1282
15611148,2,2013,11,17,0,22,121.43194,31.34571,0,1282
16209850,6,2013,12,17,0,8,115.79214,33.8611,0,1252
16481641,6,2013,12,18,0,6,113.57721,22.27469,0,1251
17348099,2,2014,2,11,0,32,101.27014,36.68311,0,1196
18427445,6,2014,6,11,0,14,106.54313,29.58055,0,1076
21296094,3,2014,12,4,0,3,120.77755,30.75248,0,900
5511441,2,2011,12,21,0,29,110.34643,19.98981,0,1979
6101025,11,2012,7,7,0,8,118.37149,31.37681,0,1780
7190476,1,2012,11,7,0,12,116.79934,35.76478,0,1657
9345761,2,2013,4,26,1,7,116.44313,40.04626,112,1487
9879720,2,2013,5,7,0,19,104.77915,29.33219,0,1476
10143841,1,2013,5,30,0,5,119.92103,31.75279,0,1453
10598946,2,2013,6,9,0,25,120.74519,40.61809,0,1443
11182392,1,2013,6,19,0,12,119.9603,36.35953,0,1433
11862635,9,2013,7,4,0,20,109.80742,23.31482,0,1418
12388721,1,2013,7,5,0,13,107.40386,40.74307,0,1417
13048952,1,2013,7,9,0,2,113.09949,29.36759,0,1413
13918194,1,2013,9,10,0,9,114.40718,30.5146,0,1350
14454098,5,2013,9,30,0,12,121.25103,37.48521,0,1330
14715264,2,2013,10,8,0,22,121.48135,31.24345,0,1322
14965361,4,2013,10,31,0,19,106.41556,31.02771,0,1299
16037174,6,2013,12,17,0,14,107.06894,29.83204,0,1252
16486777,9,2013,12,18,0,24,116.92282,38.92576,0,1251
17374291,9,2014,2,11,0,13,108.52985,41.28079,0,1196
